Market player,Profit (million $ /year),If involved?
d711,0.0,No
d712,0.0,No
d713,0.0,No
d714,0.0,No
d715,0.0,No
d716,0.0,No
d717,0.0,No
d718,0.0,No
d719,0.0,No
d720,513.7261857579977,Yes
d721,0.0,No
d722,0.0,No
d723,0.0,No
d724,0.0,No
d725,0.0,No
d726,0.0,No
d727,0.0,No
d728,0.0,No
d729,226.3396017037271,Yes
d730,0.0,No
d731,0.0,Yes
d732,0.0,No
d733,0.0,No
d734,0.0,No
d735,0.0,No
d736,0.0,No
d737,404.29516892275234,Yes
d738,0.0,No
d739,0.0,No
d740,0.0,No
d741,253.52191652023578,Yes
d742,0.0,No
d743,0.0,No
d744,0.0,No
d745,0.0,No
d746,0.0,No
d747,0.0,No
d748,0.0,No
d749,0.0,No
d750,0.0,No
d751,184.135712022503,Yes
d752,0.0,No
d753,0.0,No
d754,0.0,No
d755,0.0,No
d756,332.97202154967647,Yes
d757,0.0,Yes
d758,0.0,No
d759,0.0,No
d760,0.0,No
d761,0.0,No
d762,0.0,No
d763,374.35576248606236,Yes
d764,0.0,No
d765,1665.7538042268918,Yes
d766,0.0,No
d767,0.0,No
d768,0.0,No
d769,0.0,No
d770,0.0,No
d771,0.0,No
d772,85.95619164624907,Yes
d773,0.0,No
d774,150.45400009724088,Yes
d775,0.0,No
d776,0.0,No
d777,0.0,No
d778,218.67884448157218,Yes
d779,0.0,No
d780,0.0,No
d781,0.0,No
d782,0.0,No
d783,84.57108251774848,Yes
d784,0.0,No
d785,120.0568478460904,Yes
d786,147.86094191117257,Yes
d787,0.0,No
d788,84.78113645589231,Yes
d789,0.0,No
d790,0.0,No
d791,0.0,No
d792,662.8406296979999,Yes
d793,0.0,No
d794,0.0,No
d795,0.0,No
d796,0.0,No
d797,0.0,No
d798,0.6481003824605235,Yes
d799,0.0,No
d800,0.0,No
d801,0.0,No
d802,0.0,No
d803,55.26171155247573,Yes
d804,0.0,No
d805,0.0,No
d806,0.0,No
d807,0.0,No
d808,0.0,No
d809,0.0,No
d810,0.0,No
d811,163.48366940609645,Yes
d812,0.0,No
d813,35.54749616540631,Yes
d814,79.99110485587062,Yes
d815,0.0,No
d816,0.0,No
d817,0.0,Yes
d818,97.49047411636057,Yes
d819,0.0,No
d820,0.0,No
d821,0.0,No
d822,0.0,No
d823,0.0,No
d824,0.0,No
d825,0.0,No
d826,0.0,No
d827,0.0,No
d828,0.0,No
d829,0.0,No
d830,0.0,No
d831,0.0,No
d832,0.0,No
d833,0.0,No
d834,0.0,No
d835,0.0,No
d836,0.0,No
d837,0.0,No
d838,0.0,No
d839,0.0,No
d840,0.0,No
d841,0.0,No
d842,0.0,No
d843,0.0,No
d844,0.0,No
d845,0.0,No
d846,0.0,No
d847,0.0,No
d848,0.0,No
d849,220.6989201488615,Yes
d850,0.0,No
d851,0.0,No
d852,0.0,No
d853,1474.2171236892848,Yes
d854,0.0,No
d855,0.0,No
d856,0.0,No
d857,0.0,No
d858,0.0,No
d859,0.0,No
d860,209.0184290940002,Yes
d861,0.0,No
d862,0.0,No
d863,0.0,No
d864,0.0,No
d865,0.0,No
d866,0.0,No
d867,0.0,No
d868,0.0,No
d869,0.0,No
d870,0.0,No
