#day,Chlorella,Rhodomonas,Oocystis,Microcystis,Planktothrix,Asterionella,Anabaena,Ceratium,
122,0.6108528693881399,0.027680445544975122,2.5150540925760196e-5,1.5613428777103858e-10,0.7837982490964557,0.0011057383229537724,0.0003852783243149115,1.998850090307631e-8,
123,1.3811266943916727,0.0394749216352301,2.5070194642201925e-5,1.615748960539322e-10,1.0387801174863918,0.0010705193012227779,0.00048171774757857505,2.5024908589817947e-8,
124,1.9430296741997086,0.04418015787518764,2.480366660856747e-5,1.5548496615584494e-10,1.2973247049337602,0.0010363693137012005,0.0005728023581699984,2.5104991124985028e-8,
125,0.012929843477546363,0.037600339537500416,2.4483653735101188e-5,1.4531212156479974e-10,1.450931183321516,0.0010055116485080512,0.0006180795204613031,2.2965972889043084e-8,
126,0.01988735846467022,0.03513773486510992,2.425593042897071e-5,1.4412025293345867e-10,1.520791323073592,0.0009745841242208849,0.0006191285864080323,1.9400586664629123e-8,
127,0.04522864827454844,0.0322164421503461,2.4124021776769584e-5,1.4414712804094788e-10,1.5531743287194961,0.0009437712732906357,0.0006046370303677753,1.61043064490752e-8,
128,0.14086264862179157,0.02982546593716939,2.3836819113411407e-5,1.4449959908148156e-10,1.609504408605986,0.0009136123328381084,0.0006018344776753801,1.3640770735346201e-8,
129,0.5005465403537898,0.027401355884502016,2.3542639112202037e-5,1.453449614496664e-10,1.6771440716753436,0.0008842922123137377,0.0006072307590162308,1.1683917386530317e-8,
130,0.9216605165864081,0.023912847547905725,2.323286730683028e-5,1.4242634835870114e-10,1.6492336648443637,0.0008558431763140687,0.0005728273360841067,9.309477170070899e-9,
131,1.03967796095038,0.02081853867658541,2.2927062431351503e-5,1.3936688192019574e-10,1.5920655314685983,0.000828259695558353,0.0005267594851214186,7.28468656518947e-9,
132,0.9292095263165253,0.018673025606855118,2.263341816612039e-5,1.36602102019304e-10,1.5866958533259863,0.0008029054219592483,0.0005024649168190408,5.940103108924107e-9,
133,0.9521645592112915,0.016592161735110158,2.2360114167389656e-5,1.3768094551368033e-10,1.5443880525540505,0.0007779536685960715,0.0004614705525374727,4.6493475695608444e-9,
