,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n67,-18.169333438109092,-24.996863122986476,-19.515965367277087,-0.0,-0.0,-0.0,-0.0,797.8434607353317,-16.93808654298507,-25.963758898154097,-20.36790744285007,-16.258515748221516,-15.10649681353599,-10.556031789824171,97.8434607353318,97.8434607353318,97.8434607353318,-0.0,-0.0,-0.0,
n68,-17.907221734731873,-24.299952940032362,-19.28573131936829,-0.0,-0.0,-0.0,-0.0,797.3765669477598,-16.983340024845944,-25.122940785032405,-20.051422667052904,-16.270397152396267,-15.574374271989615,-11.023909248277796,97.3765669477598,97.3765669477598,97.3765669477598,-0.0,-0.0,-0.0,
n69,-18.38712350690652,-25.021681912529036,-19.620568395823216,-0.0,-0.0,-0.0,-0.0,798.0416794521582,-16.894520589740274,-25.604692044661107,-20.03564895611421,-16.182715727696184,-15.311282615379866,-10.763109865577498,98.04167945215822,98.04167945215822,98.04167945215822,-0.0,-0.0,-0.0,
n70,-18.417071942774076,-24.91462691541434,-19.51351339870852,-0.0,-0.0,-0.0,-0.0,798.1103339705335,-16.845782598637513,-25.482419564171707,-19.91337647562481,-16.128417969720466,-15.366119060990142,-10.820384339671477,98.11033397053347,98.11033397053347,98.11033397053347,-0.0,-0.0,-0.0,
n71,-18.069384573951375,-24.566468834707887,-19.165355318002067,-0.0,-0.0,-0.0,-0.0,798.2325130851352,-16.85854331816818,-25.425309918932996,-19.919099936935876,-16.009357860389184,-15.550694832015006,-11.000229808303187,98.23251308513525,98.23251308513525,98.23251308513525,-0.0,-0.0,-0.0,
n72,-17.425599730272133,-24.017931677352205,-18.75322578864236,-0.0,-0.0,-0.0,-0.0,798.5009326376069,-16.37803434503346,-24.76235720137695,-19.409407824438862,-15.7611237252596,-15.928234718161592,-11.377769694449773,98.50093263760681,98.50093263760681,98.50093263760681,-0.0,-0.0,-0.0,
n73,-17.461864112791545,-24.009434596822828,-18.756951322569336,-0.0,-0.0,-0.0,-0.0,798.3997091760169,-16.358313080686898,-24.754428865476132,-19.415212190400133,-15.733972510182326,-15.9151342310396,-11.36466920732778,98.39970917601694,98.39970917601694,98.39970917601694,-0.0,-0.0,-0.0,
n74,-17.609204707073438,-24.35279337879189,-19.1436626688347,-0.0,-0.0,-0.0,-0.0,798.2093420659384,-16.432417384255338,-24.888632367457937,-19.416519040969348,-15.870854184061436,-15.750268211974577,-11.197471642708091,98.20934206593837,98.20934206593837,98.20934206593837,-0.0,-0.0,-0.0,
n75,-17.88374705093929,-24.815172460500133,-19.457407247700214,-0.0,-0.0,-0.0,-0.0,797.8887202035246,-16.93091430939567,-25.45317797533809,-19.9217259574198,-16.264844812439925,-15.434831512186435,-10.884366656454757,97.88872020352454,97.88872020352454,97.88872020352454,-0.0,-0.0,-0.0,
n76,-17.74068020057418,-24.56381759559537,-19.206052382795452,-0.0,-0.0,-0.0,-0.0,797.903367193185,-16.738879177281742,-25.12155679729393,-19.593730462455973,-16.14938975913042,-15.616876464156475,-11.06659226179208,97.90336719318496,97.90336719318496,97.90336719318496,-0.0,-0.0,-0.0,
n77,-17.58376657512772,-24.317409881336445,-18.959644668536527,-0.0,-0.0,-0.0,-0.0,797.7851403988664,-16.647793266793432,-25.128479435833842,-19.67097338178053,-16.211762002808623,-15.68829759612626,-11.13783257241444,97.78514039886635,97.78514039886635,97.78514039886635,-0.0,-0.0,-0.0,
n78,-17.479197747888968,-24.49235029021861,-19.217230421767617,-0.0,-0.0,-0.0,-0.0,797.9850997455517,-16.572150565349773,-24.843488933612445,-19.385456497002615,-15.997630648560547,-15.770300249872642,-11.218670348810154,97.98509974555168,97.98509974555168,97.98509974555168,-0.0,-0.0,-0.0,
n79,-17.189776155063836,-23.968364618425383,-18.759233908468193,-0.0,-0.0,-0.0,-0.0,798.2125560326708,-16.38245627017279,-24.481153184975955,-19.06902526097366,-15.719366731409073,-15.966401810947305,-11.415581661023946,98.21255603267088,98.21255603267088,98.21255603267088,-0.0,-0.0,-0.0,
n80,-17.127082121630973,-23.803011955657265,-18.593881245700075,-0.0,-0.0,-0.0,-0.0,798.276052018671,-16.335944251472068,-24.506933487311542,-19.216425526935193,-15.6311787602087,-16.041153425425044,-11.490688401713225,98.27605201867097,98.27605201867097,98.27605201867097,-0.0,-0.0,-0.0,
n81,-17.083108643988236,-24.128261973755862,-18.919131263798672,-0.0,-0.0,-0.0,-0.0,798.1098640316802,-16.291365283357674,-24.295772341825,-18.891175508836596,-15.740228397258258,-16.062144226606538,-11.47990750229374,98.10986403168027,98.10986403168027,98.10986403168027,-0.0,-0.0,-0.0,
n82,-17.146482916498137,-24.26699695652134,-19.05786624656415,-0.0,-0.0,-0.0,-0.0,798.5230686444861,-16.463721326249637,-24.370078520754287,-19.097271015908685,-15.607864260396198,-16.001952642755317,-11.368731938731989,98.52306864448612,98.52306864448612,98.52306864448612,-0.0,-0.0,-0.0,
n83,-16.920007252950512,-24.013946830042965,-18.863495128325443,-0.0,-0.0,-0.0,-0.0,798.0670352771176,-16.14813036316787,-24.081829101261988,-18.789171653068234,-15.753957554950489,-16.181282203734824,-11.603214140937677,98.06703527711763,98.06703527711763,98.06703527711763,-0.0,-0.0,-0.0,
n84,-16.926065846659558,-24.038476442496613,-18.88802474077909,-0.0,-0.0,-0.0,-0.0,798.0292351608294,-16.200643776114607,-24.167664004778043,-18.778307912902328,-15.798580867808072,-16.133563718497847,-11.562656342484756,98.02923516082944,98.02923516082944,98.02923516082944,-0.0,-0.0,-0.0,
n85,-17.562048599256027,-24.091090370959954,-18.81597050250896,-0.0,-0.0,-0.0,-0.0,797.7862265906107,-16.425736556773085,-24.851854925046343,-19.48720493532252,-16.128474639616492,-15.869145659569512,-11.318680635857692,97.78622659061065,97.78622659061065,97.78622659061065,-0.0,-0.0,-0.0,
n86,-17.436412329782172,-23.953511341026978,-18.69037409655024,-0.0,-0.0,-0.0,-0.0,797.6645290185073,-16.287372514657164,-24.66726600143711,-19.31607907259536,-16.176436016523056,-16.11206368156573,-11.56159865785391,97.66452901850735,97.66452901850735,97.66452901850735,-0.0,-0.0,-0.0,
n87,-17.731279407176,-24.46830946444105,-19.193189595990056,-0.0,-0.0,-0.0,-0.0,797.6100179632936,-16.54122182600759,-24.753520685347056,-19.29599175289174,-16.26866568024991,-15.839933831339977,-11.289806381593385,97.61001796329356,97.61001796329356,97.61001796329356,-0.0,-0.0,-0.0,
n88,-17.805869098104793,-24.50542799334066,-19.266722384647,-0.0,-0.0,-0.0,-0.0,797.5414012380495,-16.43619861417895,-24.598560257587454,-19.15084132221985,-16.291296786620652,-15.91457972725216,-11.364114703540341,97.54140123804952,97.54140123804952,97.54140123804952,-0.0,-0.0,-0.0,
n89,-17.643919532691225,-24.381437046437014,-19.14583667988571,-0.0,-0.0,-0.0,-0.0,797.4555654536341,-16.335968023499262,-24.448791919191002,-19.103735552319492,-16.37714481037804,-15.969763503401847,-11.419456212973962,97.45556545363411,97.45556545363411,97.45556545363411,-0.0,-0.0,-0.0,
n90,-17.637869590076487,-24.248908677239204,-18.985771432762466,-0.0,-0.05389656745231171,-0.05389656745231171,-0.0,797.5480573630243,-16.294067761878768,-24.4364735422478,-19.11101850018742,-16.29480407118364,-16.065184484284657,-11.516737468220846,97.54805736302431,97.54805736302431,97.54805736302431,-0.0,-0.0,-0.0,
